YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2021,"Hyland, Nah'Shon",SG,74.00,169.0,21.7,0.058,81.25,101.5,8.75,9.0,26.5,34.0,10.53,3.17,3.10,NA,109.8%,78.8,128.0,135.5
2021,"Johnson, David",SG,75.25,202.8,25.2,0.075,82.50,104.0,8.25,8.5,33.0,39.0,12.02,3.20,3.03,NA,109.6%,70.1,137.0,143.0
2021,"Johnson, Jalen",PF,79.75,209.6,23.2,0.045,84.25,106.0,9.75,10.5,NA,NA,NA,NA,NA,NA,105.6%,102.4,NA,NA
2021,"Johnson, Keon",SG,75.50,184.8,22.8,0.044,79.25,97.0,8.50,9.0,41.5,48.0,11.45,3.20,3.00,NA,105.0%,76.5,138.5,145.0
2021,"Jones, Carlik",PG,72.00,173.6,23.5,0.045,77.00,97.5,8.25,9.0,31.5,36.0,10.96,3.23,3.16,NA,106.9%,74.3,129.0,133.5
2021,"Jones, Herbert",SF,78.00,206.4,23.8,0.058,84.25,106.0,8.50,9.0,28.5,36.5,11.02,3.17,3.25,NA,108.0%,76.5,134.5,142.5
2021,"Jones, Kai",PF,82.00,221.4,23.1,0.047,85.75,110.5,9.00,9.5,NA,NA,NA,NA,NA,NA,104.6%,85.5,NA,NA
2021,"Kispert, Corey",SF,78.00,223.8,25.9,0.068,79.00,102.0,8.75,10.0,30.0,37.5,10.91,2.99,3.12,NA,101.3%,87.5,132.0,139.5
2021,"Lawson, AJ",SG-SF,77.50,179.2,21.0,0.044,78.75,99.5,8.50,9.3,33.0,41.0,11.00,3.01,2.98,NA,101.6%,78.6,132.5,140.5
2021,"Lewis, Scottie",SF,76.00,187.6,22.8,0.047,84.00,101.5,8.75,9.8,34.0,42.0,10.45,3.03,2.98,NA,110.5%,85.3,135.5,143.5
2021,"Livers, Isaiah",SF,77.75,231.8,27.0,0.094,81.25,104.5,9.00,9.5,NA,NA,NA,NA,NA,NA,104.5%,85.5,NA,NA
